CardCode;GroupName;City;Name;PymntGroup
CN4912;CLINICAS PRIVADAS;TULUA/V;Valle;CREDITO 30 DIAS
CN4913;DISTRIBUIDORES;CALI;Valle;Contado
CN4916;ODONTO CENTRO ODONTO;CALI;Valle;Contado
CN4918;CLINICAS PRIVADAS;PALMIRA/V;VALLE DEL CAUCA;Contado
CN4924;ODONTO CENTRO ODONTO;NULL;NULL;CREDITO 30 DIAS
CN4925;NO DEDICADO A SALUD;SANTANDER/C;NULL;CREDITO 30 DIAS
CN4928;MED LAB OP AMBUL;CARTAGO/V;NULL;Contado
CN4930;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN4933;MED LAB OP AMBUL;CALI;NULL;Contado
CN4939;BELLEZA Y ESTETICA;CALI;NULL;CREDITO 30 DIAS
;;;;
CN4940;DISTRIBUIDORES;CALI;NULL;CREDITO 30 DIAS
CN4941;DROG FARMACIA Y MISC;CALI;NULL;CREDITO 30 DIAS
CN4944;CLINICAS PRIVADAS;BOGOTA/D.C.;NULL;CREDITO 30 DIAS
CN4945;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN4948;NO DEDICADO A SALUD;CALI;NULL;Contado
CN4949;VETERINARIOS;CALI;NULL;Contado
CN4970;VETERINARIOS;PALMIRA/V;NULL;CREDITO 30 DIAS
CN4974;OCASION PACIEN PARTI;CALI;NULL;Contado
CN4975;NO DEDICADO A SALUD;CALI;NULL;CREDITO 30 DIAS
CN4977;BELLEZA Y ESTETICA;CALI;NULL;CREDITO 30 DIAS
CN4978;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN4980;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN4982;VETERINARIOS;CALI;NULL;Contado
CN4985;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN4986;MED LAB OP AMBUL;PASTO/N;NULL;Contado
CN4987;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN4992;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN4999;MED LAB OP AMBUL;CALI;NULL;Contado
CN5002;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5003;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN5006;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5009;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5011;MED LAB OP AMBUL;CALI;NULL;Contado
CN5012;CLINICAS PRIVADAS;PEREIRA/R;NULL;CREDITO 60 DIAS 3%
CN5015;VETERINARIOS;CALI;NULL;Contado
CN5017;CLINICAS PRIVADAS;SINCELEJO;SUCRE;CREDITO 30 DIAS
CN5019;MED LAB OP AMBUL;CALI;NULL;Contado
CN5021;CLINICAS PRIVADAS;CALI;NULL;CREDITO 30 DIAS
CN5024;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5025;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5026;CLINICAS PRIVADAS;BARRANQUILLA/ATL;NULL;CREDITO 30 DIAS
CN5030;CLINICAS PRIVADAS;BUGA/V;NULL;Contado
CN5032;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5034;CLINICAS PRIVADAS;IBAGUE/T;NULL;CONTADO - CONTRA ENTREGA
CN5038;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5040;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5049;VETERINARIOS;SANTANDER/C;CAUCA;Contado
CN5053;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5055;DISTRIBUIDORES;CALI;NULL;CONTADO 3%
CN5057;MED LAB OP AMBUL;CALI;NULL;Contado
CN5061;MED LAB OP AMBUL;PALMIRA/V;VALLE DEL CAUCA;Contado
CN5064;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5065;MED LAB OP AMBUL;CALI;NULL;Contado
CN5067;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5068;MED LAB OP AMBUL;CALI;NULL;Contado
CN5072;VETERINARIOS;CALI;NULL;Contado
CN5076;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5081;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5083;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5089;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5091;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5093;MED LAB OP AMBUL;NULL;NULL;Contado
CN5095;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5100;CLINICAS PRIVADAS;PALMIRA/V;NULL;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN5103;VETERINARIOS;ZARZAL/V;NULL;CREDITO 30 DIAS
CN5104;CLINICAS PRIVADAS;PEREIRA/R;NULL;CREDITO 30 DIAS
CN5106;MED LAB OP AMBUL;CALI;NULL;Contado
CN5107;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS 5%
CN5110;NO DEDICADO A SALUD;PALMIRA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5115;MED LAB OP AMBUL;PALMIRA;NULL;Contado
CN5118;MED LAB OP AMBUL;CALI;NULL;Contado
CN5119;CLINICAS PRIVADAS;VILLAVICENCIO(ME;NULL;CREDITO 30 DIAS
CN5122;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5129;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5132;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5133;CLINICAS PRIVADAS;CALI;NULL;CREDITO 30 DIAS
CN5135;MED LAB OP AMBUL;CALI;NULL;Contado
CN5137;BELLEZA Y ESTETICA;CALI;NULL;CREDITO 30 DIAS
CN5139;MED LAB OP AMBUL;CALI;NULL;Contado
CN5142;CLINICAS PRIVADAS;PASTO/N;NULL;CREDITO 60 DIAS - 30 DIAS 3%
CN5143;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5147;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS 5%
CN5150;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5151;MED LAB OP AMBUL;SANTANDER/C;NULL;CREDITO 30 DIAS
CN5152;DISTRIBUIDORES;TUMACO/N;NULL;CREDITO 30 DIAS 5%
CN5153;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5155;MED LAB OP AMBUL;CALI;NULL;Contado
CN5158;CLINICAS PRIVADAS;BUENAVENTURA;NULL;Contado
CN5159;CLINICAS PRIVADAS;TULUA/V;VALLE DEL CAUCA;CREDITO 90 DIAS
CN5162;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN5168;MED LAB OP AMBUL;CALI;NULL;Contado
CN5169;VETERINARIOS;CALI;NULL;Contado
CN5172;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5174;MED LAB OP AMBUL;TULUA/V;NULL;Contado
CN5175;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5177;MED LAB OP AMBUL;TUMACO/N;CAUCA;CREDITO 30 DIAS
CN5178;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5179;CLINICAS PRIVADAS;PEREIRA/R;RISARALDA;CREDITO 30 DIAS
CN5180;DROG FARMACIA Y MISC;VIJES/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5182;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5184;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;Contado
CN5185;VETERINARIOS;JAMUNDI/V;VALLE DEL CAUCA;Contado
CN5186;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5188;VETERINARIOS;CALI;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN5189;VETERINARIOS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5193;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5194;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;Contado
CN5196;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5200;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN5202;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS - 30 DIAS 5%
CN5215;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5218;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5219;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;Contado
CN5221;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;Contado
CN5224;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN5227;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5228;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN5231;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5234;VETERINARIOS;CALI;NULL;Contado
CN5236;CLINICAS PRIVADAS;POPAYAN/C;CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN5238;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5240;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5241;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5242;MED LAB OP AMBUL;SAN ANDRES/ISLAS;SAN ANDRES;Contado
CN5243;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5244;DISTRIBUIDORES;PASTO/N;NARIÑO;CREDITO 60 DIAS
CN5247;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN5248;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS - 30 DIAS 5%
CN5250;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5252;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5255;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5259;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN5260;DROG FARMACIA Y MISC;LA PAILA/V;VALLE DEL CAUCA;Contado
CN5265;DROG FARMACIA Y MISC;BUENAVENTURA;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5266;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5269;VETERINARIOS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5270;CLINICAS PUBLICAS;SANTANDER/C;CAUCA;CONTADO - CONTRA ENTREGA
CN5276;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5277;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5279;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5281;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5283;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5285;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN5287;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5292;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5295;MED LAB OP AMBUL;CALI;NULL;Contado
CN5298;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5301;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;Contado
CN5305;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5306;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN5307;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5310;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5312;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN5315;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5318;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5319;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5320;DROG FARMACIA Y MISC;TULUA/V;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN5325;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5326;CLINICAS PRIVADAS;TULUA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5327;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5329;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5331;DROG FARMACIA Y MISC;PASTO/N;NARIÑO;CREDITO 30 DIAS
CN5334;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%
CN5335;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5336;DROG FARMACIA Y MISC;PUERTO TEJADA/C;CAUCA;CREDITO 30 DIAS
CN5337;ODONTO CENTRO ODONTO;SANTANDER/C;CAUCA;Contado
CN5341;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5349;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5352;MED LAB OP AMBUL;PUERTO TEJADA/C;CAUCA;CREDITO 30 DIAS
CN5354;MED LAB OP AMBUL;POPAYAN/C;CAUCA;Contado
CN5356;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5360;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5365;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5373;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN5375;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;Contado
CN5376;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5379;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5391;DISTRIBUIDORES;POPAYAN/C;CAUCA;CREDITO 30 DIAS
CN5402;DROG FARMACIA Y MISC;PALMIRA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5403;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5405;CLINICAS PRIVADAS;TULUA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5406;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5409;DROG FARMACIA Y MISC;VILLARICA/CAUCA;CAUCA;CREDITO 30 DIAS
CN5410;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5411;MED LAB OP AMBUL;CALI;NULL;CREDITO 30 DIAS
CN5414;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN5418;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5421;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN5423;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN5428;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5435;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
